,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,diff,isFire,fire_cat,geometry,index_right,poly_IncidentName,poly_GISAcres,attr_FireCause,attr_POOState,attr_FireOutDateTime,attr_POOCounty,attr_FireDiscoveryDateTime,attr_ICS209RptForTimePeriodFrom,attr_ContainmentDateTime,in_named_fire,endFire
4791,4791,4791,4791,4791,4791,4791,4791,4791,34.06999,-118.51123,367.0,0.41,0.37,2025-01-08,949,N20,VIIRS,h,2,354.86,62.2,N,0,12.139999999999986,1,2,POINT (-118.51123 34.06999),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4792,4792,4792,4792,4792,4792,4792,4792,4792,34.06923,-118.50687,351.16,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,295.75,62.2,N,0,55.410000000000025,1,2,POINT (-118.50687 34.06923),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4793,4793,4793,4793,4793,4793,4793,4793,4793,34.07762,-118.55498,317.05,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,283.45,23.03,N,0,33.60000000000002,1,1,POINT (-118.55498 34.07762),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4794,4794,4794,4794,4794,4794,4794,4794,4794,34.07462,-118.53774,310.62,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,287.65,0.93,N,0,22.970000000000027,1,0,POINT (-118.53774 34.07462),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4795,4795,4795,4795,4795,4795,4795,4795,4795,34.07386,-118.5334,309.7,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,286.09,0.93,N,0,23.610000000000014,1,0,POINT (-118.5334 34.07386),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4796,4796,4796,4796,4796,4796,4796,4796,4796,34.0731,-118.52904,312.54,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.74,1.21,N,0,26.80000000000001,1,0,POINT (-118.52904 34.0731),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4797,4797,4797,4797,4797,4797,4797,4797,4797,34.07232,-118.52456,315.62,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,287.52,1.21,N,0,28.100000000000023,1,0,POINT (-118.52456 34.07232),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4799,4799,4799,4799,4799,4799,4799,4799,4799,34.07351,-118.55148,346.31,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,293.73,23.03,N,0,52.579999999999984,1,1,POINT (-118.55148 34.07351),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4800,4800,4800,4800,4800,4800,4800,4800,4800,34.07277,-118.54722,330.32,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,286.45,12.77,N,0,43.870000000000005,1,1,POINT (-118.54722 34.07277),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4801,4801,4801,4801,4801,4801,4801,4801,4801,34.06741,-118.5165,340.06,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,290.05,59.01,N,0,50.00999999999999,1,2,POINT (-118.5165 34.06741),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4802,4802,4802,4802,4802,4802,4802,4802,4802,34.06664,-118.51208,356.16,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,296.79,62.2,N,0,59.370000000000005,1,2,POINT (-118.51208 34.06664),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4803,4803,4803,4803,4803,4803,4803,4803,4803,34.06587,-118.50771,355.08,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,301.94,62.2,N,0,53.139999999999986,1,2,POINT (-118.50771 34.06587),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4804,4804,4804,4804,4804,4804,4804,4804,4804,34.0651,-118.50332,344.52,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,294.34,5.74,N,0,50.18000000000001,1,1,POINT (-118.50332 34.0651),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4806,4806,4806,4806,4806,4806,4806,4806,4806,34.07202,-118.54289,301.16,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,284.3,12.77,N,0,16.860000000000014,1,1,POINT (-118.54289 34.07202),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
4807,4807,4807,4807,4807,4807,4807,4807,4807,34.07125,-118.53851,301.28,0.41,0.37,2025-01-08,949,N20,VIIRS,n,2,285.82,0.93,N,0,15.45999999999998,1,0,POINT (-118.53851 34.07125),26326.0,PALISADES,23448.0,Undetermined,US-CA,,Los Angeles,2025-01-07 18:30:00,2025-01-31 02:00:00,,True,2025-01-31 02:00:00
